timeindex,wind-profile-LA,pv-profile-LA,wind-profile-KH,pv-profile-KH,wind-profile-MM,pv-profile-MM,wind-profile-TH,pv-profile-TH,wind-profile-VN,pv-profile-VN
2050-01-07T06:00:00Z,0.152,0.705,0.016,0.592,0,0.735,0,0.646,0.114,0.635
2050-01-07T07:00:00Z,0.156,0.602,0.02,0.519,0,0.669,0,0.56,0.151,0.558
2050-01-07T08:00:00Z,0.138,0.445,0.028,0.402,0,0.552,0,0.42,0.194,0.409
2050-01-07T09:00:00Z,0.082,0.214,0.038,0.213,0,0.376,0.001,0.228,0.204,0.185
2050-01-07T10:00:00Z,0.046,0.009,0.029,0.023,0.001,0.135,0.005,0.039,0.275,0.004
2050-01-07T11:00:00Z,0.042,0,0.061,0,0.001,0,0.011,0,0.234,0
2050-01-07T12:00:00Z,0.036,0,0.087,0,0.003,0,0.015,0,0.167,0
2050-01-07T13:00:00Z,0.041,0,0.081,0,0.004,0,0.017,0,0.136,0
2050-01-07T14:00:00Z,0.058,0,0.057,0,0.005,0,0.014,0,0.126,0
2050-01-07T15:00:00Z,0.054,0,0.049,0,0.005,0,0.008,0,0.133,0
2050-01-07T16:00:00Z,0.041,0,0.072,0,0.009,0,0.003,0,0.137,0
2050-01-07T17:00:00Z,0.025,0,0.115,0,0.031,0,0.001,0,0.127,0
2050-01-07T18:00:00Z,0.02,0,0.146,0,0.094,0,0,0,0.125,0
2050-01-07T19:00:00Z,0.02,0,0.173,0,0.183,0,0,0,0.122,0
2050-01-07T20:00:00Z,0.016,0,0.181,0,0.228,0,0,0,0.113,0
2050-01-07T21:00:00Z,0.005,0,0.189,0,0.226,0,0,0,0.102,0
2050-01-07T22:00:00Z,0.001,0,0.192,0,0.21,0,0,0,0.099,0
2050-01-07T23:00:00Z,0,0.001,0.187,0.023,0.195,0,0.002,0,0.08,0.054
2050-01-08T00:00:00Z,0.001,0.238,0.082,0.268,0.157,0.112,0.01,0.124,0.07,0.285
2050-01-08T01:00:00Z,0,0.475,0.113,0.479,0.044,0.384,0.006,0.337,0.085,0.532
2050-01-08T02:00:00Z,0,0.634,0.093,0.621,0.025,0.57,0.005,0.505,0.083,0.667
2050-01-08T03:00:00Z,0,0.737,0.073,0.693,0.049,0.687,0.005,0.587,0.11,0.735
2050-01-08T04:00:00Z,0,0.785,0.074,0.734,0.035,0.75,0.004,0.65,0.152,0.759
2050-01-08T05:00:00Z,0,0.785,0.083,0.725,0.017,0.772,0.002,0.663,0.2,0.742
2050-01-08T06:00:00Z,0,0.735,0.092,0.675,0.011,0.742,0.001,0.613,0.264,0.681
2050-01-08T07:00:00Z,0.001,0.637,0.103,0.566,0.006,0.675,0.001,0.531,0.346,0.567
2050-01-08T08:00:00Z,0.002,0.482,0.122,0.41,0.003,0.558,0.001,0.395,0.428,0.399
2050-01-08T09:00:00Z,0.003,0.254,0.101,0.209,0.002,0.384,0.003,0.21,0.422,0.171
2050-01-08T10:00:00Z,0.002,0.021,0.059,0.021,0.001,0.14,0.011,0.034,0.368,0.003
2050-01-08T11:00:00Z,0.002,0,0.067,0,0.003,0,0.029,0,0.314,0
2050-01-08T12:00:00Z,0.018,0,0.066,0,0.006,0,0.041,0,0.233,0
2050-01-08T13:00:00Z,0.074,0,0.095,0,0.008,0,0.033,0,0.217,0
2050-01-08T14:00:00Z,0.097,0,0.236,0,0.006,0,0.013,0,0.206,0
2050-01-08T15:00:00Z,0.093,0,0.413,0,0.004,0,0.004,0,0.212,0
2050-01-08T16:00:00Z,0.115,0,0.326,0,0.001,0,0.003,0,0.214,0
2050-01-08T17:00:00Z,0.101,0,0.264,0,0.004,0,0.014,0,0.23,0
2050-01-08T18:00:00Z,0.056,0,0.234,0,0.044,0,0.053,0,0.243,0
2050-01-08T19:00:00Z,0.032,0,0.22,0,0.123,0,0.12,0,0.273,0
2050-01-08T20:00:00Z,0.029,0,0.222,0,0.202,0,0.227,0,0.309,0
2050-01-08T21:00:00Z,0.034,0,0.22,0,0.25,0,0.349,0,0.319,0
2050-01-08T22:00:00Z,0.035,0,0.216,0,0.264,0,0.407,0,0.32,0
2050-01-08T23:00:00Z,0.053,0,0.206,0.021,0.254,0,0.435,0,0.295,0.038
2050-01-09T00:00:00Z,0.069,0.094,0.127,0.256,0.219,0.115,0.348,0.15,0.386,0.218
2050-01-09T01:00:00Z,0.071,0.31,0.332,0.47,0.068,0.387,0.611,0.376,0.586,0.459
2050-01-09T02:00:00Z,0.051,0.494,0.347,0.619,0.036,0.571,0.625,0.546,0.6,0.636
2050-01-09T03:00:00Z,0.01,0.659,0.272,0.708,0.032,0.685,0.523,0.659,0.594,0.713
2050-01-09T04:00:00Z,0.001,0.712,0.179,0.742,0.004,0.748,0.404,0.715,0.588,0.74
2050-01-09T05:00:00Z,0.001,0.704,0.118,0.728,0,0.768,0.316,0.723,0.586,0.725
2050-01-09T06:00:00Z,0.001,0.634,0.093,0.681,0,0.742,0.264,0.681,0.596,0.661
2050-01-09T07:00:00Z,0.002,0.531,0.09,0.567,0,0.674,0.236,0.595,0.618,0.555
2050-01-09T08:00:00Z,0.003,0.378,0.1,0.405,0,0.555,0.228,0.457,0.635,0.387
2050-01-09T09:00:00Z,0.002,0.199,0.109,0.198,0,0.377,0.208,0.263,0.55,0.149
2050-01-09T10:00:00Z,0.011,0.009,0.103,0.019,0.001,0.135,0.178,0.05,0.424,0.002
2050-01-09T11:00:00Z,0.034,0,0.125,0,0.012,0,0.178,0,0.367,0
2050-01-09T12:00:00Z,0.044,0,0.113,0,0.033,0,0.177,0,0.343,0
2050-01-09T13:00:00Z,0.064,0,0.105,0,0.052,0,0.19,0,0.328,0
2050-01-09T14:00:00Z,0.067,0,0.136,0,0.059,0,0.235,0,0.325,0
2050-01-09T15:00:00Z,0.07,0,0.2,0,0.051,0,0.313,0,0.337,0
2050-01-09T16:00:00Z,0.058,0,0.203,0,0.037,0,0.417,0,0.368,0
2050-01-09T17:00:00Z,0.041,0,0.178,0,0.016,0,0.527,0,0.381,0
2050-01-09T18:00:00Z,0.028,0,0.16,0,0.003,0,0.575,0,0.401,0
2050-01-09T19:00:00Z,0.014,0,0.145,0,0,0,0.563,0,0.441,0
2050-01-09T20:00:00Z,0.006,0,0.131,0,0.001,0,0.556,0,0.469,0
2050-01-09T21:00:00Z,0.004,0,0.109,0,0.003,0,0.529,0,0.481,0
2050-01-09T22:00:00Z,0.005,0,0.11,0,0.008,0,0.538,0,0.448,0
2050-01-09T23:00:00Z,0.008,0,0.118,0.019,0.02,0,0.551,0,0.425,0.036
2050-01-10T00:00:00Z,0.005,0.088,0.059,0.246,0.034,0.076,0.562,0.179,0.552,0.201
2050-01-10T01:00:00Z,0.004,0.32,0.246,0.459,0.013,0.322,0.779,0.408,0.685,0.416
2050-01-10T02:00:00Z,0.004,0.544,0.315,0.606,0.002,0.514,0.765,0.575,0.686,0.555
2050-01-10T03:00:00Z,0.003,0.676,0.277,0.696,0.013,0.639,0.669,0.681,0.684,0.629
2050-01-10T04:00:00Z,0.003,0.709,0.228,0.733,0.014,0.711,0.484,0.734,0.668,0.653
2050-01-10T05:00:00Z,0.005,0.669,0.193,0.725,0.008,0.735,0.316,0.742,0.647,0.646
2050-01-10T06:00:00Z,0.009,0.644,0.178,0.671,0.004,0.703,0.218,0.702,0.637,0.572
2050-01-10T07:00:00Z,0.014,0.508,0.18,0.564,0.002,0.627,0.176,0.618,0.636,0.461
2050-01-10T08:00:00Z,0.016,0.389,0.192,0.401,0.002,0.499,0.167,0.482,0.628,0.314
2050-01-10T09:00:00Z,0.007,0.19,0.163,0.191,0.004,0.327,0.174,0.289,0.535,0.134
2050-01-10T10:00:00Z,0.003,0.009,0.142,0.018,0.032,0.098,0.201,0.063,0.376,0.002
2050-01-10T11:00:00Z,0.003,0,0.14,0,0.138,0,0.253,0,0.315,0
2050-01-10T12:00:00Z,0.004,0,0.118,0,0.223,0,0.278,0,0.278,0
2050-01-10T13:00:00Z,0.013,0,0.099,0,0.218,0,0.282,0,0.241,0
2050-01-10T14:00:00Z,0.037,0,0.09,0,0.166,0,0.298,0,0.225,0
2050-01-10T15:00:00Z,0.064,0,0.097,0,0.113,0,0.315,0,0.236,0
2050-01-10T16:00:00Z,0.072,0,0.101,0,0.082,0,0.341,0,0.234,0
2050-01-10T17:00:00Z,0.061,0,0.121,0,0.062,0,0.379,0,0.261,0
2050-01-10T18:00:00Z,0.059,0,0.127,0,0.041,0,0.425,0,0.278,0
2050-01-10T19:00:00Z,0.053,0,0.126,0,0.021,0,0.466,0,0.282,0
2050-01-10T20:00:00Z,0.044,0,0.122,0,0.008,0,0.472,0,0.311,0
2050-01-10T21:00:00Z,0.034,0,0.104,0,0.003,0,0.477,0,0.316,0
2050-01-10T22:00:00Z,0.029,0,0.1,0,0.002,0,0.505,0,0.292,0
2050-01-10T23:00:00Z,0.025,0,0.099,0.023,0.001,0,0.484,0,0.243,0.033
2050-01-11T00:00:00Z,0.006,0.154,0.093,0.259,0.006,0.075,0.358,0.193,0.345,0.189
2050-01-11T01:00:00Z,0,0.456,0.249,0.467,0.005,0.319,0.524,0.422,0.429,0.401
2050-01-11T02:00:00Z,0,0.625,0.224,0.612,0.005,0.513,0.617,0.585,0.398,0.543
2050-01-11T03:00:00Z,0,0.734,0.179,0.7,0.01,0.649,0.488,0.684,0.381,0.643
2050-01-11T04:00:00Z,0,0.783,0.139,0.732,0.009,0.722,0.334,0.737,0.391,0.69
2050-01-11T05:00:00Z,0,0.783,0.11,0.716,0.01,0.746,0.233,0.744,0.413,0.671
2050-01-11T06:00:00Z,0,0.735,0.101,0.673,0.01,0.721,0.175,0.703,0.45,0.61
2050-01-11T07:00:00Z,0,0.636,0.112,0.557,0.011,0.652,0.148,0.617,0.495,0.481
2050-01-11T08:00:00Z,0,0.479,0.139,0.394,0.013,0.532,0.144,0.479,0.535,0.316
2050-01-11T09:00:00Z,0,0.252,0.135,0.191,0.022,0.352,0.14,0.275,0.489,0.136
2050-01-11T10:00:00Z,0,0.022,0.134,0.018,0.076,0.114,0.146,0.059,0.38,0.003
2050-01-11T11:00:00Z,0.009,0,0.172,0,0.194,0,0.181,0,0.332,0
2050-01-11T12:00:00Z,0.041,0,0.191,0,0.259,0,0.202,0,0.323,0
2050-01-11T13:00:00Z,0.08,0,0.199,0,0.25,0,0.208,0,0.323,0
2050-01-11T14:00:00Z,0.1,0,0.209,0,0.189,0,0.22,0,0.311,0
2050-01-11T15:00:00Z,0.109,0,0.206,0,0.123,0,0.261,0,0.323,0
2050-01-11T16:00:00Z,0.132,0,0.17,0,0.063,0,0.315,0,0.339,0
2050-01-11T17:00:00Z,0.093,0,0.137,0,0.021,0,0.379,0,0.351,0
2050-01-11T18:00:00Z,0.051,0,0.137,0,0.004,0,0.435,0,0.344,0
2050-01-11T19:00:00Z,0.035,0,0.139,0,0.001,0,0.476,0,0.325,0
2050-01-11T20:00:00Z,0.042,0,0.12,0,0.001,0,0.494,0,0.325,0
2050-01-11T21:00:00Z,0.048,0,0.105,0,0.003,0,0.501,0,0.302,0
2050-01-11T22:00:00Z,0.053,0,0.13,0,0.009,0,0.504,0,0.266,0
2050-01-11T23:00:00Z,0.05,0,0.131,0.012,0.022,0,0.498,0.001,0.234,0.025
2050-01-12T00:00:00Z,0.04,0.122,0.068,0.186,0.036,0.094,0.379,0.204,0.284,0.157
2050-01-12T01:00:00Z,0.077,0.391,0.237,0.422,0.014,0.354,0.636,0.429,0.544,0.355
2050-01-12T02:00:00Z,0.055,0.592,0.252,0.586,0.008,0.54,0.676,0.59,0.601,0.511
2050-01-12T03:00:00Z,0.019,0.694,0.188,0.681,0.015,0.665,0.56,0.687,0.62,0.618
2050-01-12T04:00:00Z,0.007,0.755,0.121,0.723,0.012,0.735,0.396,0.741,0.609,0.658
2050-01-12T05:00:00Z,0.004,0.735,0.084,0.718,0.008,0.761,0.255,0.75,0.59,0.626
2050-01-12T06:00:00Z,0.003,0.682,0.074,0.669,0.004,0.74,0.176,0.713,0.586,0.527
2050-01-12T07:00:00Z,0.002,0.57,0.077,0.566,0.001,0.673,0.146,0.629,0.602,0.337
2050-01-12T08:00:00Z,0.005,0.381,0.085,0.393,0,0.554,0.142,0.493,0.621,0.2
2050-01-12T09:00:00Z,0.013,0.128,0.106,0.184,0.001,0.373,0.133,0.289,0.557,0.071
2050-01-12T10:00:00Z,0.036,0.007,0.123,0.018,0.016,0.132,0.13,0.062,0.477,0.001
